snapshot_date,provider,slug,is_brand,focus,courses,top_terms
2026-07-07,DeLSt GmbH Deutsches eLearning Studieninstitut,delst-gmbh-deutsches-elearning-studieninstitut,0,0,18,Technischen; Manager; Bereichen; Technischen Bereichen; Effektive; Kommunikation; Handelsbranche; Erlernen
2026-07-07,CBZ Landshut GmbH,cbz-landshut-gmbh,0,0,18,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; Social; Media; Social Media; Online-Marketing
2026-07-07,PBF Personalberatung und Bildungsakademie Fasulo GmbH,pbf-personalberatung-und-bildungsakademie-fasulo-gmbh,0,0,17,Marketing; Social-Media-Marketing; Social; Media; Social Media; Aufbaukurs; Online-Marketing; Online-Marketing Social-Media-Marketing
2026-07-07,Prisma Bildungsplattform e. V.,prisma-bildungsplattform-e-v,0,0,17,Marketing; Social-Media-Marketing; Social; Media; Social Media; Energieberater; Online-Marketing; Online-Marketing Social-Media-Marketing
2026-07-07,Minister Fachschule GmbH,minister-fachschule-gmbh,0,0,17,Marketing; Manager; Digital; Seo; Sem; Social; Media; Social Media
2026-07-07,Horizonia GmbH,horizonia-gmbh,0,0,17,Marketing; Online-Marketing; Social-Media-Marketing; Seo; Sem; Online-Marketing Social-Media-Marketing; E-Commerce; Social
2026-07-07,DFW Akademie,dfw-akademie,0,0,16,Manager; Marketing; Digital; Social; Media; Social Media; Strategy; Content
2026-07-07,Zukunftswerkstatt Mitteldeutschland,zukunftswerkstatt-mitteldeutschland,0,0,16,Marketing; Social-Media-Marketing; Social; Media; Social Media; Wordpress; Online-Marketing; Seo
2026-07-07,PersonaPlan GmbH,personaplan-gmbh,0,0,16,Marketing; Social-Media-Marketing; Masterclass; Starter; Social; Media; Social Media; Online-Marketing
2026-07-07,Kolping-Bildungswerk GmbH,kolping-bildungswerk-gmbh,0,0,16,Masterclass; Starter; Marketing; Social; Media; Social Media; Manager; Data-Science
2026-07-07,Rheinischer Dialog und Bildungsverein e. V.,rheinischer-dialog-und-bildungsverein-e-v,0,0,16,Marketing; Masterclass; Starter; Energieberater; Social-Media-Marketing; Social; Media; Social Media
2026-07-07,Konzept Bildung und Services GmbH,konzept-bildung-und-services-gmbh,0,0,16,Marketing; Künstliche; Intelligenz; Künstliche Intelligenz; E-Commerce; Social; Media; Social Media
2026-07-07,Skilldrops GmbH,skilldrops-gmbh,0,0,15,Scrum; Automatisierung; Product; Psychologie; Practitioner; Owner; Scrum Product; Product Owner
2026-07-07,GAG Klausdorf gGmbH,gag-klausdorf-ggmbh,0,0,15,Marketing; Online-Marketing; Social-Media-Marketing; Online-Marketing Social-Media-Marketing; Seo; Sem; Social; Media
2026-07-07,New Horizons Dortmund Computer Learning Center GmbH & Co.KG,new-horizons-dortmund-computer-learning-center-gmbh-co-kg,0,0,15,Künstliche; Intelligenz; Künstliche Intelligenz; Generative; Digital; Examen; Marketing; Amp
2026-07-07,bam GmbH,bam-gmbh,0,0,15,Marketing; Social-Media-Marketing; Social; Media; Social Media; Masterclass; Starter; Online-Marketing
2026-07-07,Donner + Partner GmbH Bayern,donner-partner-gmbh-bayern,0,0,15,Marketing; Social; Media; Social Media; Online-Marketing; Social-Media-Marketing; Seo; Sem
2026-07-07,Technologiezentrum Glehn GmbH,technologiezentrum-glehn-gmbh,0,0,15,Marketing; Social-Media-Marketing; Masterclass; Starter; Social; Media; Social Media; Online-Marketing
2026-07-07,TEACH GmbH & Co. KG,teach-gmbh-co-kg,0,0,15,Marketing; Online-Marketing; Social-Media-Marketing; Seo; Sem; Online-Marketing Social-Media-Marketing; Kommunikation; Social
2026-07-07,FiGD Akademie für Medienentwicklung,figd-akademie-f-r-medienentwicklung,0,0,15,Wordpress; Programmierung; Php; Media; Cms; Social; Content; Management
2026-07-07,Bonner Bildungs Center e. V.,bonner-bildungs-center-e-v,0,0,15,Marketing; Social-Media-Marketing; Social; Media; Social Media; Energieberater; Online-Marketing; Online-Marketing Social-Media-Marketing
2026-07-07,Pioneer Institut GmbH,pioneer-institut-gmbh,0,0,15,Marketing; Social; Media; Social Media; Masterclass; Starter; Künstliche; Intelligenz
2026-07-07,Hallmann Personal- und Schulungscenter GmbH,hallmann-personal-und-schulungscenter-gmbh,0,0,14,Marketing; Online-Marketing; Social-Media-Marketing; Online-Marketing Social-Media-Marketing; Seo; Sem; Social; Media
2026-07-07,Berufsbildungszentrum Augsburg der Lehmbaugruppe gGmbH,berufsbildungszentrum-augsburg-der-lehmbaugruppe-ggmbh,0,0,14,Marketing; Social-Media-Marketing; Social; Media; Social Media; Wordpress; Online-Marketing; Online-Marketing Social-Media-Marketing
2026-07-07,BVH Gesellschaft für angewandte Bildung und Sozialforschung mbH,bvh-gesellschaft-f-r-angewandte-bildung-und-sozialforschung-mbh,0,0,14,Marketing; Social-Media-Marketing; Social; Media; Social Media; Online-Marketing; Online-Marketing Social-Media-Marketing; Seo
2026-07-07,Bildungsinsel GmbH,bildungsinsel-gmbh,0,0,14,Marketing; Social; Media; Social Media; Online-Marketing; Social-Media-Marketing; Online-Marketing Social-Media-Marketing; Seo
2026-07-07,IBB Institut für Berufliche Bildung Harz,ibb-institut-f-r-berufliche-bildung-harz,0,0,14,Marketing; Online-Marketing; Social-Media-Marketing; Online-Marketing Social-Media-Marketing; Seo; Sem; Social; Media
2026-07-07,Alsterbildungsring e. V.,alsterbildungsring-e-v,0,0,14,Marketing; Social; Media; Social Media; Energieberater; Nichtwohngebäude; Aufbaukurs; Online-Marketing
2026-07-07,eSA - europäische Sachverständigen Akademie AG & Co. KG,esa-europ-ische-sachverst-ndigen-akademie-ag-co-kg,0,0,13,Marketing; Social; Media; Social Media; Aufbaukurs; Online-Marketing; Social-Media-Marketing; Marketing Aufbaukurs
2026-07-07,Bildung & Beruf GmbH,bildung-beruf-gmbh,0,0,13,Marketing; Social; Media; Social Media; Online-Marketing; Social-Media-Marketing; Seo; Sem
2026-07-07,ProfeS GmbH,profes-gmbh,0,0,13,Marketing; Social-Media-Marketing; Masterclass; Starter; Online-Marketing; Seo; Sem; Online-Marketing Social-Media-Marketing
2026-07-07,Webmasters Akademie Nürnberg GmbH,webmasters-akademie-n-rnberg-gmbh,0,0,12,Experte; Manager; Zertifizierte; Google; Management; Seo; Web; Ki-Manager
2026-07-07,ebam Akademie für Wirtschaft und Management,ebam-akademie-f-r-wirtschaft-und-management,0,0,12,Content; Digital; Marketing; Specialist; Digital Marketing; Manager; Social; Media
2026-07-07,Akademie für berufliche Aus- und Weiterbildung Schweiger & Schmitt GmbH,akademie-f-r-berufliche-aus-und-weiterbildung-schweiger-schmitt-gmbh,0,0,12,Marketing; Social-Media-Marketing; Social; Media; Social Media; Online-Marketing; Online-Marketing Social-Media-Marketing; Seo
2026-07-07,TEMP.Akademie GmbH,temp-akademie-gmbh,0,0,12,Marketing; Social; Media; Social Media; Online-Marketing; Social-Media-Marketing; Online-Marketing Social-Media-Marketing; Seo
2026-07-07,Dacte,dacte,0,0,12,Coach; Design; Thinking; Design Thinking; Thinking Coach; Agile; Agile Coach; High
2026-07-07,SBW Aus- und Fortbildungsgesellschaft für Wirtschaft und Verwaltung GmbH,sbw-aus-und-fortbildungsgesellschaft-f-r-wirtschaft-und-verwaltung-gmb,0,0,12,Marketing; Social; Media; Social Media; Online-Marketing; Social-Media-Marketing; Seo; Sem
2026-07-07,AZH Ausbildungszentrum Homburg GmbH,azh-ausbildungszentrum-homburg-gmbh,0,0,12,Marketing; Online-Marketing; Social-Media-Marketing; Seo; Sem; Online-Marketing Social-Media-Marketing; Social; Media
